SerNum;Name;Cmp;Wiki;Status;Liftoff Thrust;Payload to LEO;Stages;Strap-ons;Rocket Height;Price;Payload to GTO;Fairing Diameter;Fairing Height
249;Molniya-M /Block ML;RKK Energiya;https://en.wikipedia.org/wiki/Molniya-M;Retired;4,016;0.0;3;4;43.4 m;;0.0;;7.81 m
250;Molniya-M /Block NVL;RKK Energiya;https://en.wikipedia.org/wiki/Molniya-M;Retired;4,016;0.0;3;4;43.4 m;;0.0;;7.81 m
251;Molniya-M /Block SO-L;RKK Energiya;https://en.wikipedia.org/wiki/Molniya-M;Retired;4,016;0.0;3;4;43.4 m;;0.0;;7.81 m
252;Molniya-M /Block VL;RKK Energiya;https://en.wikipedia.org/wiki/Molniya-M;Retired;4,016;0.0;3;4;43.4 m;;0.0;;7.81 m
253;MOMO;IST;https://en.wikipedia.org/wiki/Interstellar_Technologies#MOMO_sounding_rocket;Active;83;0.0;1;0;10.0 m;$0.44 million;0.0;0.5 m;0.8 m
254;Mu-III C;ISAS;https://en.wikipedia.org/wiki/Mu_(rocket_family);Retired;;0.195;3;8;;;0.0;;
255;Mu-III H;ISAS;https://en.wikipedia.org/wiki/Mu_(rocket_family);Retired;;0.27;4;8;;;0.0;;
256;Mu-III S;ISAS;https://en.wikipedia.org/wiki/Mu_(rocket_family);Retired;;0.29;3;8;;;0.0;;
257;Mu-III S2;ISAS;https://en.wikipedia.org/wiki/Mu_(rocket_family);Retired;;0.77;4;2;;;0.0;;
258;Mu-IV S;ISAS;https://en.wikipedia.org/wiki/Mu_(rocket_family);Retired;;0.18;4;8;23.6 m;;0.0;;
259;Mu-V / M-24;ISAS;https://en.m.wikipedia.org/wiki/M-V;Retired;3,780;1.8;4;0;30.7 m;;0.0;;
260;Mu-V / M-25;ISAS;https://en.m.wikipedia.org/wiki/M-V;Retired;3,780;1.8;4;0;30.7 m;;0.0;;
261;N1-L3;OKB-1;https://en.wikipedia.org/wiki/N1_(rocket);Retired;45,400;95.0;5;0;105.0 m;;0.0;;
262;N1-L3 M;OKB-1;https://en.wikipedia.org/wiki/N1_(rocket);Retired;45,400;95.0;5;0;105.0 m;;0.0;;
263;Naro-1;KARI;https://en.wikipedia.org/wiki/Naro-1;Retired;83;0.0;2;0;33.0 m;;0.0;3.0 m;
264;New Glenn;Blue Origin;https://en.wikipedia.org/wiki/New_Glenn;Planned;17,100;45.0;2;0;82.0 m;;13.0;7.0 m;5.4 m
265;New Shepard;Blue Origin;https://en.wikipedia.org/wiki/New_Shepard;Active;490;0.0;2;0;18.0 m;;0.0;;
266;N-I;MHI;https://en.wikipedia.org/wiki/N-I_(rocket);Retired;;1.2;2;3;34.0 m;;0.36;;
267;N-II;MHI;https://en.wikipedia.org/wiki/N-II_(rocket);Retired;;2.0;2;9;35.0 m;;0.73;;
268;N-II Star-37E;MHI;https://en.wikipedia.org/wiki/N-II_(rocket);Retired;;2.0;3;9;35.0 m;;0.73;;
269;N-I Star-37E;MHI;https://en.wikipedia.org/wiki/N-I_(rocket);Retired;;1.2;3;3;34.0 m;;0.36;;
