SerNum;Name;Cmp;Wiki;Status;Liftoff Thrust;Payload to LEO;Stages;Strap-ons;Rocket Height;Price;Payload to GTO;Fairing Diameter;Fairing Height
0;Tsyklon-3;Yuzhmash;https://en.wikipedia.org/wiki/Tsyklon-3;Retired;3,032;4.1;3;0;39.0 m;;0.0;;
1;Tsyklon-4M;Yuzhnoye;https://en.wikipedia.org/wiki/Cyclone-4M;Planned;3,130;5.0;2;0;38.7 m;$45.0 million;0.91;4.0 m;
2;Unha-2;KCST;https://en.wikipedia.org/wiki/Unha;Retired;1,192;0.2;3;0;28.0 m;;0.0;;
3;Unha-3;KCST;https://en.wikipedia.org/wiki/Unha;Active;1,192;0.2;3;0;32.0 m;;0.0;1.3 m;
4;Vanguard;US Navy;https://en.wikipedia.org/wiki/Vanguard_(rocket);Retired;135;0.01;3;0;23.0 m;;0.0;;
5;Vector-H;Vector;https://en.wikipedia.org/wiki/Vector-H;Planned;175;0.15;2;0;18.3 m;$3.0 million;0.0;0.6 m;0.8 m
6;Vector-R;Vector;https://en.wikipedia.org/wiki/Vector-R;Planned;81;0.065;2;0;13.0 m;$2.0 million;0.0;0.6 m;0.8 m
7;Vega;ESA;https://en.wikipedia.org/wiki/Vega_(rocket);Active;2,200;1.436;4;0;29.9 m;$37.0 million;0.0;2.6 m;7.88 m
8;Vega C;ESA;https://en.wikipedia.org/wiki/Vega_(rocket);Planned;4,500;2.2;4;0;35.0 m;;0.0;;
9;Vega E;ESA;https://en.wikipedia.org/wiki/Vega_(rocket);Planned;;0.0;4;0;35.0 m;;0.0;;
10;VLS-1;AEB;https://en.wikipedia.org/wiki/VLS-1;Active;623;0.38;3;4;19.0 m;;0.0;1.0 m;
11;Volna;Makeyev;https://en.wikipedia.org/wiki/Volna;Retired;;0.1;3;0;15.0 m;;0.0;;
12;Voskhod;OKB-1;https://en.wikipedia.org/wiki/Voskhod_(rocket);Retired;;5.9;2;4;31.0 m;;0.0;3.0 m;
13;Vostok;OKB-1;https://en.wikipedia.org/wiki/Vostok-K;Retired;3,894;4.73;2;4;31.0 m;;0.0;;
14;Vostok-2;OKB-1;https://en.wikipedia.org/wiki/Vostok-2_(rocket);Retired;995;4.73;2;4;;;0.0;;
15;Vostok-2A;OKB-1;https://en.wikipedia.org/wiki/Vostok_(rocket_family);Retired;;4.5;3;4;;;0.0;;
16;Vostok-2M;OKB-1;https://en.wikipedia.org/wiki/Vostok-2M;Retired;;0.0;3;4;;;0.0;;
17;Vulcan Centaur;ULA;https://en.wikipedia.org/wiki/Vulcan_%28rocket%29;Planned;;17.8;2;;58.3 m;;15.3;5.4 m;
18;Zenit-2;Yuzhmash;https://en.wikipedia.org/wiki/Zenit-2;Retired;8,181;1.2;2;0;57.0 m;;5.0;4.1 m;13.7 m
19;Zenit-2 FG;Yuzhmash;https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29;Active;7,400;11.74;2;0;57.0 m;;4.0;4.1 m;10.4 m
20;Zenit-3 SL;Yuzhmash;https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29;Active;8,180;13.74;3;0;59.6 m;;6.0;3.9 m;
21;Zenit-3 SLB;Yuzhmash;https://en.wikipedia.org/wiki/Zenit_%28rocket_family%29;Active;7,400;13.74;3;0;57.0 m;;5.0;4.1 m;10.4 m
22;Zenit-3 SLBF;Yuzhmash;https://en.wikipedia.org/wiki/Zenit-3F;Active;8,180;13.74;3;0;57.0 m;;6.0;4.1 m;10.4 m
23;Zéphyr;Venture OS;https://fr.wikipedia.org/wiki/Z%C3%A9phyr_(fus%C3%A9e);Planned;56;0.08;2;0;12.3 m;;0.0;1.0 m;
24;ZhuQue-1;Landspace;https://en.wikipedia.org/wiki/LandSpace;Retired;450;0.3;3;0;19.0 m;;0.0;;
25;ZhuQue-2;Landspace;https://en.wikipedia.org/wiki/LandSpace#Zhuque-2;Planned;216;4.0;2;0;;;0.0;;
26;Angara 1.1;Khrunichev;https://en.wikipedia.org/wiki/Angara_(rocket_family);Planned;196;2.0;2;0;35.0 m;;0.0;;
27;Angara 1.2;Khrunichev;https://en.wikipedia.org/wiki/Angara_(rocket_family);Active;196;3.7;2;0;41.5 m;;0.0;;
28;Angara A5/Briz-M;Khrunichev;https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5;Active;7,680;0.0;3;4;;;5.4;;
29;Angara A5/DM-03;Khrunichev;https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5;Planned;7,680;0.0;3;4;;;0.0;;
30;Angara A5M;Khrunichev;https://en.wikipedia.org/wiki/Angara_(rocket_family)#Angara_A5;Planned;7,680;0.0;2;4;;;0.0;;
31;Antares 110;Yuzhnoye;https://en.wikipedia.org/wiki/Antares_(rocket);Retired;1,630;0.0;2;0;40.5 m;$80.0 million;0.0;3.94 m;4.87 m
32;Antares 120;Yuzhnoye;https://en.wikipedia.org/wiki/Antares_(rocket);Retired;1,630;4.6;2;0;40.5 m;$80.0 million;1.5;3.94 m;9.87 m
33;Antares 130;Yuzhnoye;https://en.wikipedia.org/wiki/Antares_(rocket);Retired;1,630;5.1;2;0;40.5 m;$80.0 million;0.0;3.94 m;9.87 m
34;Antares 230;Yuzhnoye;https://en.wikipedia.org/wiki/Antares_(rocket);Retired;1,922;7.0;2;0;41.9 m;$85.0 million;0.0;3.9 m;9.9 m
35;Antares 230+;Yuzhnoye;https://en.wikipedia.org/wiki/Antares_%28rocket%29#Antares_230+;Active;3,265;8.0;2;0;42.5 m;$85.0 million;0.0;3.9 m;9.9 m
36;Ares 1-X;NASA;https://en.wikipedia.org/wiki/Ares_I;Retired;15,000;0.0;1;0;94.0 m;$450.0 million;0.0;;
37;Ariane 1;ESA;https://en.wikipedia.org/wiki/Ariane_1;Retired;2,772;1.4;4;0;50.0 m;;1.85;;
38;Ariane 2;ESA;https://en.wikipedia.org/wiki/Ariane_2;Retired;2,580;0.0;3;0;49.13 m;;2.175;;
39;Ariane 3;ESA;https://en.wikipedia.org/wiki/Ariane_3;Retired;5,100;0.0;3;2;49.13 m;;2.7;;
40;Ariane 40;ESA;https://en.wikipedia.org/wiki/Ariane_4;Retired;3,034;5.0;3;0;58.72 m;;2.0;;
41;Ariane 42L;ESA;https://en.wikipedia.org/wiki/Ariane_4;Retired;4,538;0.0;3;2;58.72 m;;3.48;;
42;Ariane 42P;ESA;https://en.wikipedia.org/wiki/Ariane_4;Retired;4,334;0.0;3;2;58.72 m;;2.93;;
43;Ariane 44L;ESA;https://en.wikipedia.org/wiki/Ariane_4;Retired;6,000;0.0;3;4;58.72 m;;4.72;;
44;Ariane 44LP;ESA;https://en.wikipedia.org/wiki/Ariane_4;Retired;5,800;0.0;3;4;58.72 m;;4.22;;
45;Ariane 44P;ESA;https://en.wikipedia.org/wiki/Ariane_4;Retired;4,334;0.0;3;4;58.72 m;;3.46;;
46;Ariane 5 ECA;ESA;https://en.wikipedia.org/wiki/Ariane_5;Active;15,120;21.0;2;2;53.0 m;$200.0 million;10.5;5.4 m;17.0 m
47;Ariane 5 ES;ESA;https://en.wikipedia.org/wiki/Ariane_5;Retired;15,120;21.0;2;2;50.5 m;;0.0;5.4 m;17.0 m
48;Ariane 5 G;ESA;https://en.wikipedia.org/wiki/Ariane_5;Retired;11,400;0.0;2;2;52.0 m;;6.9;;
49;Ariane 5 G+;ESA;https://en.wikipedia.org/wiki/Ariane_5;Retired;;6.2;2;2;;$190.0 million;6.95;;
50;Ariane 5 GS;ESA;https://en.wikipedia.org/wiki/Ariane_5;Retired;;0.0;2;2;;;6.6;;
51;Ariane 62;ESA;https://en.wikipedia.org/wiki/Ariane_6;Planned;8,370;10.35;2;2;63.0 m;$88.0 million;5.0;5.4 m;20.0 m
52;Ariane 64;ESA;https://en.wikipedia.org/wiki/Ariane_6;Planned;15,370;21.65;2;4;63.0 m;$106.0 million;11.5;5.4 m;20.0 m
53;Ariane 64 / Icarus;ESA;https://en.wikipedia.org/wiki/Ariane_6;Planned;15,370;25.0;2;4;63.0 m;$100.0 million;15.0;5.4 m;20.0 m
54;ASLV;ISRO;https://en.wikipedia.org/wiki/Augmented_Satellite_Launch_Vehicle;Retired;1,005;0.15;5;2;24.0 m;;0.0;1.0 m;
55;Athena I;Lockheed;https://en.wikipedia.org/wiki/Athena_I;Retired;1,900;0.82;3;;18.9 m;;0.0;;
56;Athena II;Lockheed;https://en.wikipedia.org/wiki/Athena_II;Retired;1,900;0.0;4;;28.2 m;;0.593;;
57;Atlas-D Able;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Able;Retired;1,587;0.0;3;0;35.0 m;;0.0;;
58;Atlas-D Mercury;NASA;https://en.wikipedia.org/wiki/Atlas_LV-3B;Retired;1,517;1.36;2;0;28.7 m;;0.0;;
59;Atlas-D OV1;General Dynamics;https://en.wikipedia.org/wiki/SM-65D_Atlas;Retired;1,601;0.0;2;0;;;0.0;;
60;Atlas-E/F Agena D;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Agena;Retired;;0.0;2;0;;;0.0;;
61;Atlas-E/F Altair;Lockheed;https://en.wikipedia.org/wiki/Atlas_E/F;Retired;;0.21;2;0;;;0.0;;
62;Atlas-E/F Burner;General Dynamics;;Retired;;0.95;2;0;;;0.0;;
63;Atlas-E/F MSD;General Dynamics;https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-MSD;Retired;;0.8;2;0;;;0.0;;
64;Atlas-E/F OIS;General Dynamics;https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-OIS;Retired;;0.87;2;0;;;0.0;;
65;Atlas-E/F OV1;General Dynamics;https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-OV1;Retired;;0.363;2;0;;;0.0;;
66;Atlas-E/F PTS;General Dynamics;https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-PTS;Retired;;0.295;2;0;;;0.0;;
67;Atlas-E/F SGS-1;General Dynamics;https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-SGS;Retired;;0.0;3;0;;;0.0;;
68;Atlas-E/F SGS-2;General Dynamics;https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-SGS;Retired;;0.0;3;0;;;0.0;;
69;Atlas-E/F Star-17A;General Dynamics;https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-Star;Retired;;0.0;2;0;;;0.0;;
70;Atlas-E/F Star-37S-ISS;General Dynamics;https://en.wikipedia.org/wiki/Atlas_E/F#Atlas_E/F-Star;Retired;;0.0;2;0;;;0.0;;
71;Atlas-G Centaur-D1AR;General Dynamics;https://en.wikipedia.org/wiki/Atlas_G;Retired;;5.9;2;0;;;2.222;;
72;Atlas-H MSD;General Dynamics;https://en.wikipedia.org/wiki/Atlas_H;Retired;;0.0;2;0;;;0.0;;
73;Atlas I;General Dynamics;https://en.wikipedia.org/wiki/Atlas_I;Retired;;0.0;2;0;43.9 m;;0.0;;
74;Atlas II;Lockheed;https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999);Retired;2,111;6.78;2;0;47.5 m;;2.81;;
75;Atlas IIA;Lockheed;https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999);Retired;21,111;7.316;2;0;47.5 m;;3.18;;
76;Atlas IIAS;Lockheed;https://en.wikipedia.org/wiki/List_of_Atlas_launches_(1990–1999);Retired;3,068;8.618;2;4;47.5 m;;3.933;;
77;Atlas IIIA;Lockheed;https://en.wikipedia.org/wiki/Atlas_III;Retired;4,149;8.64;2;0;52.8 m;;4.055;4.2 m;12.2 m
78;Atlas IIIB;Lockheed;https://en.wikipedia.org/wiki/Atlas_III;Retired;4,149;10.218;2;0;52.8 m;;4.5;4.2 m;12.2 m
79;Atlas-LV3 Agena-A;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Agena;Retired;;1.25;2;0;;;0.0;;
80;Atlas-LV3 Agena-B;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Agena;Retired;;1.725;2;0;;;0.0;;
81;Atlas-LV3 Agena-D;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Agena;Retired;;0.0;2;0;;;0.0;;
82;Atlas-LV3C Centaur-A;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Centaur;Retired;;0.0;2;0;;;0.0;;
83;Atlas-LV3C Centaur-B;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Centaur;Retired;;0.0;2;0;;;0.0;;
84;Atlas-LV3C Centaur-C;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Centaur;Retired;;0.0;2;0;;;0.0;;
85;Atlas-LV3C Centaur-D;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Centaur;Retired;;0.0;2;0;;;0.0;;
86;Atlas SLV-3;General Dynamics;https://en.wikipedia.org/wiki/Atlas_SLV-3;Retired;;0.8;;0;;;0.0;;
87;Atlas-SLV3A Agena-D;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Agena;Retired;;0.0;2;0;;;0.0;;
88;Atlas-SLV3 Agena-B;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Agena;Retired;;0.0;2;0;;;0.0;;
89;Atlas-SLV3 Agena-D;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Agena;Retired;;1.825;2;0;;;0.0;;
90;Atlas-SLV3B Agena-D;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Agena;Retired;;0.0;2;0;;;0.0;;
91;Atlas-SLV3 Burner-2;General Dynamics;https://en.wikipedia.org/wiki/Atlas_SLV-3;Retired;;0.0;2;0;;;0.0;;
92;Atlas-SLV3C Centaur-D;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Centaur;Retired;;0.0;2;0;;;0.0;;
93;Atlas-SLV3D Centaur-D1A;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Centaur;Retired;;0.0;2;0;;;0.0;;
94;Atlas-SLV3D Centaur-D1AR;General Dynamics;https://en.wikipedia.org/wiki/Atlas-Centaur;Retired;;0.0;2;0;;;0.0;;
95;Atlas V 401;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;3,826;9.797;2;0;58.3 m;$109.0 million;4.75;4.2 m;13.8 m
96;Atlas V 411;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;5,515;12.03;2;1;58.3 m;$115.0 million;5.95;4.2 m;13.8 m
97;Atlas V 421;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;7,204;13.6;2;2;58.3 m;$123.0 million;6.89;4.2 m;13.8 m
98;Atlas V 431;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;8,892;15.26;2;3;59.1 m;$130.0 million;7.7;4.2 m;13.8 m
99;Atlas V 501;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;3,826;8.21;2;0;62.2 m;$120.0 million;3.78;5.4 m;26.5 m
100;Atlas V 511;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;5,515;11.0;2;1;62.2 m;$130.0 million;5.25;5.4 m;26.5 m
101;Atlas V 521;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;7,204;13.5;2;2;62.2 m;$135.0 million;6.48;5.4 m;26.5 m
102;Atlas V 531;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;8,892;15.53;2;3;62.2 m;$140.0 million;7.45;5.4 m;26.5 m
103;Atlas V 541;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;10,581;17.41;2;4;62.2 m;$145.0 million;8.29;5.4 m;26.5 m
104;Atlas V 551;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;12,269;18.85;2;5;62.2 m;$153.0 million;8.9;5.4 m;26.5 m
105;Atlas V 552;ULA;https://en.wikipedia.org/wiki/Atlas_V;Planned;12,269;20.52;2;5;62.2 m;;0.0;5.4 m;26.5 m
106;Atlas V N22;ULA;https://en.wikipedia.org/wiki/Atlas_V;Active;7,204;13.0;2;2;;;0.0;;
107;Black Arrow;RAE;https://en.wikipedia.org/wiki/Black_Arrow;Retired;256;0.135;3;;13.0 m;;0.0;;
108;Blue Scout II;Vought;https://en.wikipedia.org/wiki/RM-90_Blue_Scout_II;Retired;471;0.0;4;0;24.0 m;;0.0;;
109;Ceres-1;Galactic Energy;;Planned;588;0.35;4;0;19.0 m;$4.9 million;0.0;1.28 m;2.6 m
110;Commercial Titan III;Martin Marietta;https://en.wikipedia.org/wiki/Commercial_Titan_III;Retired;12,450;14.515;2;2;47.0 m;$136.6 million;0.0;;
111;Conestoga-1620;EER;https://en.wikipedia.org/wiki/Conestoga_(rocket);Retired;;1.179;4;6;;$20.0 million;0.0;;
112;Cosmos-1 (65S3);OKB-586;https://en.wikipedia.org/wiki/Kosmos_(rocket_family);Retired;;0.4;2;0;31.0 m;;0.0;1.6 m;
113;Cosmos-2I (63S1);OKB-586;https://en.wikipedia.org/wiki/Kosmos_(rocket_family);Retired;;0.4;2;0;31.0 m;;0.0;1.6 m;
114;Cosmos-2I (63SM);OKB-586;https://en.wikipedia.org/wiki/Kosmos-2I;Retired;;0.45;2;0;31.0 m;;0.0;1.6 m;
115;Cosmos-3 (11K65);OKB-586;https://en.wikipedia.org/wiki/Kosmos-3;Retired;1,740;1.4;2;0;26.0 m;;0.0;1.6 m;
116;Cosmos-3M (11K65M);OKB-586;https://en.wikipedia.org/wiki/Kosmos-3M;Retired;1,485;1.5;2;0;32.0 m;;0.0;2.4 m;
117;Cosmos-3MRB (65MRB);OKB-586;https://en.wikipedia.org/wiki/Kosmos-3;Retired;1,740;1.4;2;0;26.0 m;;0.0;1.4 m;
118;Delta 3920-8;Douglas;https://en.wikipedia.org/wiki/Delta_3000;Retired;3,188;0.0;2;9;;;0.0;2.9 m;
119;Delta 4925-8;Boeing;https://en.wikipedia.org/wiki/Delta_(rocket_family)#Delta_4000-Series;Retired;3,469;3.4;3;9;34.0 m;;1.2;2.44 m;
120;Delta A;US Air Force;https://en.wikipedia.org/wiki/Delta_A;Retired;;0.32;3;0;;;0.068;;
121;Delta B;US Air Force;https://en.wikipedia.org/wiki/Delta_B;Retired;;0.375;3;0;;;0.068;;
122;Delta C;US Air Force;https://en.wikipedia.org/wiki/Delta_C;Retired;667;0.41;3;0;31.0 m;;0.082;;
123;Delta II 6920-10;Boeing;https://en.wikipedia.org/wiki/Delta_II;Retired;3,481;3.95;2;9;38.9 m;;0.0;3.0 m;8.9 m
124;Delta II 6920-8;Boeing;https://en.wikipedia.org/wiki/Delta_II;Retired;3,481;3.983;2;9;38.1 m;;0.0;2.4 m;8.49 m
125;Delta II 6925;Boeing;https://en.wikipedia.org/wiki/Delta_II;Retired;3,481;0.0;3;9;38.1 m;;1.447;2.9 m;8.49 m
126;Delta II 6925-8;Boeing;https://en.wikipedia.org/wiki/Delta_II;Retired;3,481;0.0;3;9;38.1 m;;1.46;2.4 m;8.49 m
127;Delta II 7320-10C;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;2,533;2.703;2;3;38.9 m;;0.0;3.0 m;8.9 m
128;Delta II 7326;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;2,533;0.0;3;3;38.1 m;;0.934;2.9 m;8.49 m
129;Delta II 7420-10C;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,020;3.099;2;4;38.9 m;;0.0;3.0 m;8.9 m
130;Delta II 7425;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,020;0.0;3;4;38.1 m;;1.11;2.9 m;8.49 m
131;Delta II 7425-10C;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,020;0.0;3;4;38.9 m;;1.073;3.0 m;8.9 m
132;Delta II 7426;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,020;0.0;4;3;38.1 m;;1.058;2.9 m;8.49 m
133;Delta II 7920-10;Boeing;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;4.8;2;9;38.9 m;;0.0;3.0 m;8.9 m
134;Delta II 7920-10C;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;4.844;2;9;38.9 m;;0.0;3.0 m;8.9 m
135;Delta II 7920-10L;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;4.805;2;9;39.3 m;;0.0;3.0 m;9.3 m
136;Delta II 7920-8;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;5.0;2;9;38.1 m;;0.0;2.4 m;8.49 m
137;Delta II 7920H;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;4,398;6.097;2;9;38.1 m;;0.0;2.9 m;8.49 m
138;Delta II 7920H-10C;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;4,398;5.959;2;9;38.9 m;;0.0;3.0 m;8.9 m
139;Delta II 7925;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;0.0;3;9;38.1 m;;1.819;2.9 m;8.49 m
140;Delta II 7925-10;Boeing;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;0.0;3;9;38.9 m;;1.73;3.0 m;8.9 m
141;Delta II 7925-10C;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;0.0;3;9;38.9 m;;1.747;3.0 m;8.9 m
142;Delta II 7925-10L;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;0.0;3;9;39.3 m;;1.739;3.0 m;9.3 m
143;Delta II 7925-8;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;3,511;0.0;3;9;38.1 m;;1.78;2.4 m;8.49 m
144;Delta II 7925H;ULA;https://en.wikipedia.org/wiki/Delta_II;Retired;4,398;0.0;3;9;38.1 m;;2.171;2.9 m;8.49 m
145;Delta III 8930;Boeing;https://en.wikipedia.org/wiki/Delta_III;Retired;628;8.29;2;9;35.0 m;;3.81;4.0 m;10.84 m
146;Delta IV Heavy;ULA;https://en.wikipedia.org/wiki/Delta_IV_Heavy;Active;9,411;28.37;2;2;72.0 m;$350.0 million;13.81;5.1 m;19.1 m
147;Delta IV Medium;Boeing;https://en.wikipedia.org/wiki/Delta_(rocket_family)#Delta_M;Retired;3,137;8.8;2;0;62.5 m;$133.0 million;4.54;4.0 m;11.75 m
148;Delta IV Medium+ (4,2);ULA;https://en.wikipedia.org/wiki/Delta_IV;Retired;4,895;10.44;2;2;62.5 m;$164.0 million;6.39;4.0 m;11.75 m
149;Delta IV Medium+ (5,2);ULA;https://en.wikipedia.org/wiki/Delta_IV;Retired;4,895;9.61;2;2;66.4 m;;5.08;5.1 m;19.1 m
150;Delta IV Medium+ (5,4);ULA;https://en.wikipedia.org/wiki/Delta_IV;Retired;6,653;11.6;2;4;66.4 m;;6.89;5.1 m;19.1 m
151;Diamant A;Aérospatiale;https://en.wikipedia.org/wiki/Diamant;Retired;274;0.08;3;0;16.95 m;;0.0;0.65 m;2.16 m
152;Diamant B;Aérospatiale;https://en.wikipedia.org/wiki/Diamant;Retired;348;0.115;3;0;24.2 m;;0.0;0.85 m;2.8 m
153;Diamant BP4;Aérospatiale;https://en.wikipedia.org/wiki/Diamant;Retired;317;0.112;3;0;21.64 m;;0.0;1.45 m;4.5 m
154;Dnepr;Yuzhnoye;https://en.wikipedia.org/wiki/Dnepr_(rocket);Retired;4,520;4.5;3;0;34.3 m;$29.0 million;0.0;3.0 m;
155;Electron;Rocket Lab;https://en.wikipedia.org/wiki/Electron_(rocket);Active;162;0.3;2;0;17.0 m;$7.5 million;0.0;1.2 m;
156;Electron/Curie;Rocket Lab;https://en.wikipedia.org/wiki/Electron_(rocket);Active;162;0.3;3;0;17.0 m;$7.5 million;0.0;1.2 m;2.5 m
157;Electron/Photon;Rocket Lab;https://en.wikipedia.org/wiki/Electron_(rocket);Planned;162;0.3;3;0;17.0 m;;0.0;1.2 m;
158;Energiya/Buran;RKK Energiya;https://en.wikipedia.org/wiki/Energia#Development;Retired;394,723;100.05;1;4;59.0 m;$5,000.0 million;30.0;;
159;Energiya/Polyus;RKK Energiya;https://en.wikipedia.org/wiki/Energia#Development;Retired;39,473;100.05;1;4;59.0 m;$5,000.0 million;30.0;;
160;Epsilon;JAXA;https://en.wikipedia.org/wiki/Epsilon_(rocket);Active;1,612;0.0;3;0;26.0 m;;0.0;2.5 m;9.19 m
161;Epsilon Demo;JAXA;https://en.wikipedia.org/wiki/Epsilon_(rocket);Retired;1,621;0.49;4;0;24.0 m;;0.0;2.5 m;9.19 m
162;Epsilon PBS;JAXA;https://en.wikipedia.org/wiki/Epsilon_(rocket);Active;1,612;0.7;4;0;26.0 m;$39.0 million;0.0;2.5 m;9.19 m
163;Epsilon S;JAXA;https://en.wikipedia.org/wiki/Epsilon_(rocket);Planned;1,612;1.4;4;0;27.0 m;;0.0;2.5 m;9.19 m
164;Europa 1;CECLES;https://en.wikipedia.org/wiki/Europa_(rocket);Retired;3,962;1.44;3;0;31.68 m;;0.2;2.0 m;
165;Europa 2;CECLES;https://en.wikipedia.org/wiki/Europa_(rocket);Retired;8,372;0.0;4;0;31.68 m;;0.36;2.0 m;
166;Falcon 1;SpaceX;https://en.wikipedia.org/wiki/Falcon_1;Retired;343;0.47;2;0;22.25 m;$7.0 million;0.0;1.5 m;3.5 m
167;Falcon 9 Block 3;SpaceX;https://en.wikipedia.org/wiki/Falcon_9;Retired;6,804;22.8;2;0;70.0 m;$62.0 million;8.3;5.2 m;13.0 m
168;Falcon 9 Block 4;SpaceX;https://en.wikipedia.org/wiki/Falcon_9;Retired;6,804;22.8;2;0;70.0 m;$62.0 million;8.3;5.2 m;13.0 m
169;Falcon 9 Block 5;SpaceX;https://en.wikipedia.org/wiki/Falcon_9;Active;7,607;22.8;2;0;70.0 m;$50.0 million;8.3;5.2 m;13.0 m
170;Falcon 9 v1.0;SpaceX;https://en.wikipedia.org/wiki/Falcon_9_v1.0;Retired;4,940;10.45;2;0;54.9 m;$59.5 million;4.54;5.2 m;13.0 m
171;Falcon 9 v1.1;SpaceX;https://en.wikipedia.org/wiki/Falcon_9_v1.1;Retired;5,885;13.15;2;0;68.4 m;$56.5 million;4.85;5.2 m;13.0 m
